date,time,temp,dew_point,humidity,wind_dir,wind_speed,wind_gust,pressure,condition
2023-05-01,00:20,18.9,12.8,0.68,W,6.7,0,1015.2,Fair
2023-05-01,00:50,18.9,13.9,0.73,WSW,7.2,0,1015.2,Fair
2023-05-01,01:20,17.8,13.9,0.77,W,6.7,0,1014.6,Fair
2023-05-01,01:50,18.9,13.9,0.73,W,6.7,0,1014.6,Fair
2023-05-01,02:20,18.9,12.8,0.68,WSW,6.7,0,1014.6,Fair
2023-05-01,02:50,17.8,12.8,0.73,WSW,6.7,0,1014.6,Fair
2023-05-01,03:20,17.8,12.8,0.73,W,7.2,0,1014.6,Fair
2023-05-01,03:50,17.8,12.8,0.73,SW,6.3,0,1013.5,Fair
2023-05-01,04:20,18.9,12.2,0.64,SW,4,0,1014.6,Fair
2023-05-01,04:50,18.9,12.2,0.64,WSW,3.1,0,1014.6,Fair
2023-05-01,05:20,17.8,12.8,0.73,WSW,3.6,0,1014.6,Fair
2023-05-01,05:50,17.8,12.8,0.73,SW,2.2,0,1014.6,Fair
2023-05-01,06:50,17.2,12.2,0.72,W,0.4,0,1014.6,Fair
2023-05-01,07:50,17.8,16.1,0.88,NE,0.9,0,1015.2,Patches of Fog
2023-05-01,08:50,17.2,13.9,0.82,W,0.9,0,1015.2,Patches of Fog
2023-05-01,09:20,17.8,13.9,0.77,WSW,2.7,0,1015.2,Patches of Fog
2023-05-01,09:50,17.8,13.9,0.77,WSW,2.2,0,1015.2,Fair
2023-05-01,10:20,18.9,13.9,0.73,SW,2.7,0,1016.3,Fair
2023-05-01,10:50,21.1,13.9,0.64,WSW,1.3,0,1016.3,Fair
2023-05-01,11:20,21.1,15,0.68,ESE,2.7,0,1016.3,Fair
2023-05-01,11:50,22.2,13.9,0.6,SE,2.2,0,1016.3,Fair
2023-05-01,12:20,22.2,13.9,0.6,E,2.2,0,1016.3,Fair
2023-05-01,12:50,22.2,13.9,0.6,E,2.2,0,1016.3,Fair
2023-05-01,13:20,22.2,15,0.64,E,2.7,0,1016.3,Fair
2023-05-01,13:50,22.2,15,0.64,E,2.7,0,1016.3,Fair
2023-05-01,14:20,22.2,15,0.64,E,3.6,0,1016.3,Fair
2023-05-01,14:50,21.1,15,0.68,E,3.6,0,1016.3,Fair
2023-05-01,15:20,21.1,16.1,0.73,E,3.1,0,1016.3,Fair
2023-05-01,15:50,21.1,16.1,0.73,E,3.1,0,1016.3,Fair
2023-05-01,16:20,21.1,16.1,0.73,E,3.6,0,1015.2,Fair
2023-05-01,16:50,20,16.1,0.78,E,3.6,0,1015.2,Fair
2023-05-01,17:20,20,16.1,0.78,E,3.1,0,1015.2,Fair
2023-05-01,17:50,20,16.1,0.78,E,3.1,0,1015.2,Fair
2023-05-01,18:20,20,17.2,0.83,E,4,0,1015.2,Fair
